PATRIC.ID,CDMM_A,CDMM_B,CDMM_C,Comm_A,Comm_B,Comm_C,IEC_A,IEC_B,IEC_C
fig|645463.3.peg.70,2762.13,3214.8,3355.12,2040.2,2191.7,2499.8,1853.11,2057.02,2082.47
fig|645463.3.peg.71,1844.62,2026.99,2113.55,2325.86,2505.66,2819.85,1965.52,2126.76,2113.93
fig|645463.3.peg.72,1511.97,1660.11,1717.5,1754.86,1789.96,2085.72,1523.44,1686.28,1746.61
fig|645463.3.peg.73,517.17,578.93,490.25,210.16,259.5,253.09,321.11,388.68,388.15
fig|645463.3.peg.74,262.24,305.3,333.04,371.08,395.19,421.55,522.25,534.4,549.39
fig|645463.3.peg.75,682.45,767.67,838.87,880.31,920.32,1016.3,1114.31,1180.48,1212.5
fig|645463.3.peg.76,3184.72,3536.23,3489.27,2636.56,2823.03,3120.18,2740.47,2894.45,3003.56
fig|645463.3.peg.77,1497.81,1392.72,1513.51,1197.25,1216.26,1332.74,1467.68,1257.74,1294.13
fig|645463.3.peg.78,3914.83,4299.81,4676.82,3525.9,3784.74,4311.47,3677.25,3896.7,4082.87
fig|645463.3.peg.79,4434.08,5009.79,5390.97,3533.08,3627.7,4093.55,3846.34,3928.72,4043.41
fig|645463.3.peg.80,6605.18,7931.62,7559.57,6724.08,7997.76,7950.17,5810.66,6536.09,6658.04
fig|645463.3.peg.81,3478.13,3597.33,3745.66,2985.21,3120.17,3327.94,2925.51,2744.44,2878.62
fig|645463.3.peg.82,4095.45,4558.39,4620.99,3598.54,3983.46,4290.73,2914.83,3018.34,3183.66
fig|645463.3.peg.83,5108.08,5819.84,5469.16,4621.15,5283.66,5799.75,3630.64,3870.6,3932
fig|645463.3.peg.84,4197.35,4617.71,4691.87,3845.55,4130.71,4501.58,3245.36,3137.03,3301.57
fig|645463.3.peg.85,5622.03,6075.68,6371.81,5467.06,5670.1,6326.48,3871.01,3977.99,4319.48
fig|645463.3.peg.86,5329.03,5933.92,5853.65,5179.39,5451.69,6044.57,3980.43,3697.38,3963.67
fig|645463.3.peg.87,2590.58,2539.94,2890.89,2476.17,2386.21,2641.13,1870.87,1706.31,1867.73
fig|645463.3.peg.88,5068.14,5671.36,5853.43,5004.34,5242.33,5781.97,3772.69,3743.15,4048.79
fig|645463.3.peg.89,6234.46,7412.32,7590.49,6420.18,7196.17,7791.64,4644.26,4856.57,5185.55
fig|645463.3.peg.90,6787.38,8032.87,8228.01,7182.96,7911.51,8571.9,5118.57,5350.72,5833.98
fig|645463.3.peg.91,5159.79,5634.14,6110.12,5376.72,5626.63,6153.66,3945.57,3935.74,4362.9
fig|645463.3.peg.92,4300.72,4639.72,5157.14,4350.79,4624.78,4816.85,3329.89,3203.9,3399.55
fig|645463.3.peg.93,3326.54,3826.31,3951.53,3496.31,3779.6,3892.53,2535.7,2354.02,2584.29
fig|645463.3.peg.94,3522.1,3681.52,4062.08,3631.12,3570.37,4068.34,2658.74,2652.42,2970.59
fig|645463.3.peg.95,3001.94,3162.2,3545.59,3074.48,3021.31,3368.27,2122.88,2194.31,2479.86
fig|645463.3.peg.96,3862.19,4030.61,4350.05,3549.39,3823.55,3966.33,2953.92,2607.82,2772.97
fig|645463.3.peg.97,3787.82,4363.09,4404.5,3558.99,3872.66,4200.67,2641.49,2635.89,2914.25
fig|645463.3.peg.98,2600.22,2376.18,2597.73,2356.94,2272.06,2445.99,2062.6,1715.39,1836.22
fig|645463.3.peg.99,3549.96,3725.91,4165.46,3242.06,3423.58,3611.03,2896.88,2604.03,2819.93
fig|645463.3.peg.100,3763.77,3981.15,4285.63,3833.54,3993.9,4220.71,2894.56,2936.85,3087.48
fig|645463.3.peg.101,3654.61,4109.92,4141.88,4512.59,5097.8,5209.16,2904.07,3187.63,3423
fig|645463.3.peg.102,2494.56,2670.76,2890.94,3317.57,3665.91,3632.41,2197.7,2177.64,2387.98
fig|645463.3.peg.103,2284.31,2498.95,2675.1,2957.36,3237.64,3175.79,1880.42,1958.02,2064.37
fig|645463.3.peg.104,1274.34,1320.23,1423.41,1657.87,1755.8,1817.84,1046.1,1044.61,1156.3
fig|645463.3.peg.105,2942.08,3313.17,3397.52,3781.69,4228.8,4440.74,2211.76,2309.58,2566.43
fig|645463.3.peg.106,1356.41,1434.21,1591.07,1632.37,1735.34,1767.95,1017.84,1003.12,1135.63
fig|645463.3.peg.107,1741.46,1757.62,1946.97,1689.97,1786.23,1954.24,1332.42,1346.02,1442.3
fig|645463.3.peg.108,8577.57,9988.13,10212.13,7276.22,8404.74,9058.73,6158.31,6876.61,7247.06
fig|645463.3.peg.109,5657.01,6354.49,6706.3,4670.54,5240.01,5892.3,3979.26,4425.81,4702.37
fig|645463.3.peg.110,3319.26,3243.93,3559.96,2418.34,2519.19,2733,2557.48,2254.34,2343.39
fig|645463.3.peg.111,2210.57,2173.3,2607.34,1593.19,1584.25,1771.51,1896.52,1595.56,1676.22
fig|645463.3.peg.112,68.99,74.97,77.42,56.26,64.29,64.17,57.91,62.3,60.67
fig|645463.3.peg.114,93.39,110.83,123.27,136.67,157.18,155.59,103.4,108.8,106.75
fig|645463.3.peg.115,126.25,144.01,160.89,168.89,191.02,189.73,127.54,146.2,138.38
fig|645463.3.peg.117,1646.95,1662.91,1815.58,1260.43,1251.9,1427.79,1527.75,1560.37,1556.79
fig|645463.3.peg.118,14.56,18.92,18.87,16.82,20.08,19.83,22.67,25.69,26.87
fig|645463.3.peg.119,390.9,455.05,459.84,311.49,355.98,451.53,414.68,576.18,547.36
fig|645463.3.peg.120,275.16,303.27,354.1,168.15,181.43,198.43,107.61,126.2,119.8
fig|645463.3.peg.121,269.51,291.53,371.43,213.84,203.9,229.07,143.03,170.51,160.74
fig|645463.3.peg.123,29.97,36.19,33.16,46.51,53.55,50.31,35.27,38.19,38.79
fig|645463.3.peg.124,41.88,43.5,45.62,48.84,53.62,49.96,46.72,53.87,49.31
fig|645463.3.peg.125,258.74,289.81,270.35,194.1,201.74,216.49,167.78,207.9,211.9
fig|645463.3.peg.126,126.61,139.35,142.95,104.58,106.34,112.48,111.82,124.38,127.14
fig|645463.3.peg.127,327.3,351.5,376.02,340.43,328.48,391.71,307.75,372.21,408.62
fig|645463.3.peg.128,639.69,650.88,645.05,713.78,759.79,856.25,805.98,943.7,968.14
fig|645463.3.peg.129,859.28,902.62,909.18,872.92,889.59,1044.88,945.11,1121.4,1162.57
fig|645463.3.peg.130,935.59,967.84,1008.33,947.64,978.23,1098.03,994.8,1130.44,1195.17
fig|645463.3.peg.131,1424.33,1548.26,1531.62,1604.21,1716.22,1978.94,1435.37,1833.58,1878.79
fig|645463.3.peg.132,98.76,115.35,135.51,287.11,326.95,346.72,209.56,202.24,198.59
fig|645463.3.peg.133,350.04,405.46,523.33,676.99,806.14,892.04,764.91,953.3,973.36
fig|645463.3.peg.134,15.31,15.07,18.15,35.49,41.46,41.81,22.16,24.76,26.45
fig|645463.3.peg.135,43.47,51.72,50.3,38.74,41.36,36.58,26.16,38.72,34.85
fig|645463.3.peg.136,182.67,207.72,220.84,287.95,324.89,333.24,231.34,252.24,254.77
fig|645463.3.peg.137,52,59.74,65.74,103.95,118.93,119.66,63.16,65.29,65.16
fig|645463.3.peg.138,27.69,29.03,34.6,41.1,45.77,40.67,31.73,27.88,28.67
fig|645463.3.peg.139,3.73,5.65,4.83,4.61,5.27,5.63,9.29,7.37,7.96
