PATRIC.ID,CDMM_A,CDMM_B,CDMM_C,Comm_A,Comm_B,Comm_C,IEC_A,IEC_B,IEC_C
fig|645463.3.peg.819,111.9,129.34,219.33,927.5,976.95,1010.41,562.24,738.75,707.95
fig|645463.3.peg.820,5.74,6.81,8.04,8.42,8.75,9.17,6.57,7.68,8
fig|645463.3.peg.821,29.41,33.12,37.03,22.42,23.82,27.74,36.36,41.58,43.89
fig|645463.3.peg.822,66.59,78.55,91.63,45.74,54.02,59.67,61.59,63.13,66.16
fig|645463.3.peg.823,78.17,89.19,108.92,43.74,47.3,55.59,57.16,61.55,60.24
fig|645463.3.peg.824,6.25,7.5,6.69,13,11.93,16.7,16.36,19.74,18.66
fig|645463.3.peg.825,9.52,10,10.77,14.12,15.59,18.94,17.28,19.47,19.63
fig|645463.3.peg.826,86.85,79.8,94.42,129.13,143.66,151.33,123.18,133.23,128.98
fig|645463.3.peg.827,54.17,48.17,55.96,80.66,77.5,84.24,73.08,68.34,71.91
fig|645463.3.peg.828,30.46,35.77,42.54,54.88,65.31,75.08,26.11,46.06,46.08
fig|645463.3.peg.829,104.48,114.94,118.52,128.45,136.68,155.01,84.83,106.62,110.76
fig|645463.3.peg.830,205.14,225.11,231.16,199,207.1,238.14,173.59,196.49,204.66
fig|645463.3.peg.831,8.26,9.93,9.63,14.11,15.28,15.07,7.92,8.92,8.81
fig|645463.3.peg.832,16.17,18.74,20.48,27.95,32.63,30.78,20.29,22.9,22.77
fig|645463.3.peg.833,378.99,375.02,394.09,560.2,653.91,711.28,452.1,588.5,566.8
fig|645463.3.peg.834,2.29,4.66,4.18,3.25,4.14,4.12,7.73,8.5,7.85
fig|645463.3.peg.835,100.75,125.75,144.8,104.45,116.68,117.06,208.47,247.05,249.09
fig|645463.3.peg.836,5.48,7.64,6.36,6.87,8.23,9.12,18.3,18.54,19.54
fig|645463.3.peg.837,2.91,3.28,4.11,3.69,3.6,3.88,6.99,7.72,8.7
fig|645463.3.peg.838,15.77,15.41,18.87,22.76,21.7,21.54,33.62,37.37,38.84
fig|645463.3.peg.839,27.02,31.24,33.23,31.86,28.43,33.88,41.55,63.25,64.59
fig|645463.3.peg.840,26.53,26.87,29.41,30,32.97,31.96,44.05,52.52,48.06
fig|645463.3.peg.841,25.62,30.74,27.32,29.52,31.89,32.88,39.02,53.86,50.47
fig|645463.3.peg.842,66.63,74.02,77.07,141.23,145.41,151.94,135.63,140.07,140.95
fig|645463.3.peg.843,60.02,66.55,76.78,130.79,145.43,142.8,112.13,107.17,115.64
fig|645463.3.peg.844,106.9,108.48,127.02,171.25,199.04,191.31,257.46,297.66,289.05
fig|645463.3.peg.845,76.17,77.26,88.31,125.21,146.33,141.88,166.64,169.51,163.9
fig|645463.3.peg.846,151.14,161.03,171.96,195.84,229.3,221.39,260.17,294.92,278.45
fig|645463.3.peg.848,7.21,7.94,8.36,10.72,11.94,11.2,7.68,8.97,10.18
fig|645463.3.peg.849,0.1,0.21,0.38,0.3,0.36,0.38,0.58,0.87,0.62
fig|645463.3.peg.850,1.02,0.7,0.73,0.98,2.09,1.93,1.43,1.95,2.16
fig|645463.3.peg.851,0.87,0.96,1.08,1.81,2.47,2.37,1.88,2.21,2.5
fig|645463.3.peg.852,3.1,3.36,3.48,6.34,7.33,6.86,4.99,4.97,5.34
fig|645463.3.peg.853,3.81,4.65,4.62,5.09,5.75,6.35,5.37,7.02,6.42
fig|645463.3.peg.854,31.82,39.32,38.85,80.68,92.59,111.31,93.69,124.61,127.33
fig|645463.3.peg.855,17.29,19.2,22.11,40.97,45.87,52.28,43.05,51.42,49.79
fig|645463.3.peg.856,17.96,20.7,14.8,5.64,5.85,5.07,3.1,4.57,4.97
fig|645463.3.peg.857,64.27,71.26,67.56,93.39,97.38,98.29,53.69,58.35,57.85
fig|645463.3.peg.858,81.63,88.05,77.89,55.88,59.36,63.92,86.14,84.66,87.2
fig|645463.3.peg.859,13.59,12.02,13.2,17.07,15.61,14.91,25.45,25.09,25.9
fig|645463.3.peg.860,26.6,28.03,27.01,30.14,33.34,33.11,33.97,33.52,35.86
fig|645463.3.peg.861,29.79,33.8,32.89,34.52,35.58,37.56,35.27,34.36,34.74
fig|645463.3.peg.862,1031.8,1204.87,1658.2,1133.57,1361.05,1612.29,2184.39,2661.28,2580.54
fig|645463.3.peg.863,566.02,657.85,877.28,428.59,506.46,593.87,846.09,1093.31,1018.83
fig|645463.3.peg.864,206.46,236.52,309.44,179.01,204.59,245.66,319.76,391.29,391.35
fig|645463.3.peg.865,14.5,16.97,19.81,9.09,11.68,11.16,20.65,24.64,23.52
fig|645463.3.peg.866,24.07,28.78,35.67,18.05,25.12,28.26,44.84,48.77,46.39
fig|645463.3.peg.867,101.61,120.93,164.57,88.31,101.47,122.27,163.94,197.03,194.95
fig|645463.3.peg.868,37.07,45.98,44.14,43.43,54.36,54.52,36.95,35.73,36.45
fig|645463.3.peg.870,183.65,193.87,200.43,99.66,123.44,113.92,141.12,154.06,148.54
fig|645463.3.peg.871,602.14,642.15,628.14,297.12,360.56,338.16,429.25,469.85,443.38
fig|645463.3.peg.872,50.87,49.38,55.83,49.2,58.16,58.93,54.22,70.28,74.13
fig|645463.3.peg.873,40.09,43.22,44.69,49.18,61.75,61.43,49.37,58.37,57.35
fig|645463.3.peg.874,65.66,71.57,72.44,76.59,92.26,92.69,73.44,79.7,80.16
fig|645463.3.peg.875,54.27,61.74,66.26,59.86,69.51,71.27,60.63,66.34,66.94
fig|645463.3.peg.876,23.72,23.97,28.6,23.56,25.09,26.21,23.4,26.37,25.45
fig|645463.3.peg.877,104.95,133.91,125.11,135.01,159.31,151.86,67.26,80.79,80.77
fig|645463.3.peg.878,36.87,43.71,42.39,37.44,43.66,51.38,43.89,45.57,45.66
fig|645463.3.peg.880,84.3,92.42,122.76,42.83,48.17,56.4,115.64,125.85,125.68
fig|645463.3.peg.881,86.89,94.37,127.61,44.09,54.01,54.91,118.04,138.31,134.63
fig|645463.3.peg.882,451.19,527.45,540.39,724.14,638.59,642.5,410.89,465.22,458.64
fig|645463.3.peg.883,186.68,196.45,226.64,388.25,398.93,442.32,232.14,244.82,244.63
fig|645463.3.peg.884,48.95,55.5,56.2,108.91,118.33,115.95,94.12,102.2,101.28
fig|645463.3.peg.887,155.44,182.88,180.71,324.76,352.53,338.19,222.05,229.47,226.08
fig|645463.3.peg.886,28.57,34.24,32.49,75.75,93.2,85.66,43.68,40.32,40.41
fig|645463.3.peg.889,11.47,12.78,13.76,11.17,11.85,10.26,16.66,16.21,16.82
fig|645463.3.peg.890,121.28,140.91,141.93,137.78,152.76,158.03,235.27,285.24,284.47
fig|645463.3.peg.891,16.66,19.98,19.77,23.6,26.67,24.02,57.25,62.39,63.62
fig|645463.3.peg.892,989.63,1169.04,1054.08,853.55,1024.95,1058.54,1643.16,1800.99,1804.83
fig|645463.3.peg.893,1086.83,1310.28,1203.66,820.88,956.44,1018.03,1458.2,1739.71,1796.06
fig|645463.3.peg.894,4.48,4.97,4.52,7.57,10.58,9.47,15.89,17.02,17.12
fig|645463.3.peg.895,45.89,50.12,49.84,19.68,23.12,23.08,22.39,27.6,26.8
fig|645463.3.peg.896,8.28,10.55,10.53,14.26,16.92,16.06,9.98,10.05,10.72
fig|645463.3.peg.897,3.26,4.66,5.65,5.52,7.59,7.06,3.2,4.42,5.13
fig|645463.3.peg.898,13.73,13.76,14.32,15.08,18.04,17.21,13.87,14.12,13.6
fig|645463.3.peg.899,49.05,50.23,49.73,82.51,81.08,79.91,33.75,32.82,34.29
fig|645463.3.peg.900,21.55,25.41,23.98,46.39,54.02,53.45,30.03,34.84,32.92
fig|645463.3.peg.901,81.29,86.72,80.2,69.97,68.21,82.73,79.54,89.54,91.41
fig|645463.3.peg.902,11.3,15.92,16.23,20.21,23.43,24.62,19.55,21.57,22.28
fig|645463.3.peg.903,3.47,5.1,5.32,6.68,8.74,9.01,3.65,7.38,7.63
fig|645463.3.peg.904,0.64,0.99,0.72,1.17,1.02,0.75,1.3,1.84,2.21
fig|645463.3.peg.905,1.45,1.56,1.88,1.73,1.47,2.51,2.8,3.11,3.27
fig|645463.3.peg.906,1.71,1.3,1.43,1.98,2.56,1.97,3.89,4.29,3.61
fig|645463.3.peg.907,2.71,2.94,2.65,4.32,5.23,4.95,6.85,9.43,10.24
fig|645463.3.peg.908,29.77,36.22,39.35,39.92,50.26,50.72,52.32,56.7,56.1
fig|645463.3.peg.909,747.96,833.09,741.06,695.12,751.1,768.32,1406.85,1407.03,1398.81
fig|645463.3.peg.910,459.95,488.2,494.14,493.4,499.01,515.76,955.01,888.44,899.48
fig|645463.3.peg.911,408.92,427.33,441.15,469.26,488.76,494.5,904.54,843.76,829.6
fig|645463.3.peg.912,1.41,1.9,2.18,4.04,5,4.83,3.03,3.45,3.33
fig|645463.3.peg.913,52.31,62.18,55.73,44.87,52.39,54.86,36.98,41.56,42.41
fig|645463.3.peg.914,56.03,61.86,58.66,57.11,63.83,68.81,49.78,58.54,55.43
fig|645463.3.peg.915,2.03,2.63,2.95,4.99,5.23,4.98,2.82,3.42,2.76
fig|645463.3.peg.916,1.74,2.18,2.53,3.76,5.09,4.24,1.95,1.99,2.59
fig|645463.3.peg.917,3.42,5.05,4.64,6.89,9.55,8.34,3.51,3.17,3.65
fig|645463.3.peg.918,49.07,51.27,53.42,161.01,171.23,171.36,156.53,164.33,168.74
fig|645463.3.peg.919,51.73,49.62,58.71,157.67,155.61,152.54,143.94,142.94,145.79
fig|645463.3.peg.920,77.65,79.51,89.55,254.73,263.04,274.32,203.92,211.92,219.02
fig|645463.3.peg.921,69.61,64.94,64.19,117.69,117.25,145.55,59.04,70.86,75.04
fig|645463.3.peg.922,4.25,4.06,4.11,4.8,4.11,5.18,7.1,7.53,7.15
fig|645463.3.peg.923,3.68,4.47,3.83,3.82,5.15,4.74,4.26,5.14,4.81
fig|645463.3.peg.924,8.26,9.93,7.57,11.83,11.58,9.21,10.01,10.93,11.73
fig|645463.3.peg.925,10.69,11.65,11.01,15.86,16.81,17.09,13.37,14.87,15.24
fig|645463.3.peg.926,34.86,41.91,41,36.04,45.07,48.9,33.12,42.34,42.45
fig|645463.3.peg.928,25.24,24.45,25.49,68.82,66.16,77.16,102.1,94.84,98.37
fig|645463.3.peg.929,103.25,108.58,106.5,242.13,264.95,293.35,269.84,299.61,306.16
fig|645463.3.peg.930,140.46,152.73,133.82,317.43,336.63,388.89,311.05,313.99,321.31
fig|645463.3.peg.931,7.73,7.79,8.24,7.99,9.87,9.36,7.6,11.77,10.05
fig|645463.3.peg.932,13.42,17.79,14.17,9.41,11.48,11.97,6.18,7.98,7.97
fig|645463.3.peg.933,7.88,9.22,7.77,6.26,8.68,8.01,5.07,5.75,5.95
fig|645463.3.peg.935,17.9,21.06,23.72,24.69,29.93,30.23,28.3,33.26,35.67
fig|645463.3.peg.937,8.54,10.6,11.79,12.4,15.47,16.66,12.26,17.16,18.09
fig|645463.3.peg.938,5.99,6.72,6.27,8.21,9.63,8.08,10.68,13.92,13.6
fig|645463.3.peg.939,6.57,7.78,7.31,6.96,7.69,7.11,10.98,11.66,11.79
fig|645463.3.peg.942,121.23,133.8,76.68,2.53,2.45,2.71,3.02,3.46,3.43
fig|645463.3.peg.943,6.13,6.04,7.14,6.96,6.1,6.9,10.74,12.2,10.84
fig|645463.3.peg.944,66.95,70.25,74.27,39.71,50.02,49.58,94.43,102.42,106.69
fig|645463.3.peg.945,35.95,38.02,43.82,26.28,28.8,31.28,60.06,57.53,59.18
fig|645463.3.peg.946,37.43,37.1,43.67,28.73,31.45,28.19,56.9,62.3,66.15
fig|645463.3.peg.947,29.08,27.11,37.9,18.2,20.13,21.74,38.08,38.33,42.28
fig|645463.3.peg.948,45.77,52.19,61.04,35.01,37.59,38.29,75.04,83.08,81.97
fig|645463.3.peg.949,0.48,0.88,0.63,0.66,1.36,1.3,1.06,1.43,2.17
fig|645463.3.peg.950,21.17,25.43,25.74,46.99,70.24,63.18,21.82,34.34,31.29
fig|645463.3.peg.951,3.58,5.01,4.23,6.36,8.29,7.58,8.89,9.11,9.45
fig|645463.3.peg.952,4.38,5.84,5.88,7.3,8.68,8.53,10.51,11.79,12.11
fig|645463.3.peg.954,5.51,7.05,7.38,9.74,10.64,9.95,17.52,17.29,18.88
fig|645463.3.peg.955,5.31,4.92,6.22,7.37,9.44,8.69,10.74,12.94,12.21
fig|645463.3.peg.956,100.81,107,122.09,103.82,114.65,120.33,117.59,135.43,129.4
fig|645463.3.peg.957,80.02,87.7,95.4,130.8,135.14,133.54,90.27,105.55,102.04
fig|645463.3.peg.958,9.52,11.74,11.09,8.76,12.33,12.74,7.82,13.18,12.1
fig|645463.3.peg.959,13.91,16.93,16.83,12.88,16.23,17.08,15.3,17.3,17.49
fig|645463.3.peg.960,19.16,23.57,23.01,17.68,20.07,21.62,21.82,26.47,27.11
fig|645463.3.peg.961,22.58,25.71,29.63,32.3,37.94,37.57,50.37,56.61,59.51
fig|645463.3.peg.962,26.1,28.21,31.81,37.38,40.21,42.29,47.51,52,55.02
fig|645463.3.peg.963,24.08,27.38,29.03,34.77,38.61,39.22,40.48,42.3,44.65
fig|645463.3.peg.964,15.25,17.79,21.15,29.63,35.58,36.3,32.35,37.02,37.46
fig|645463.3.peg.965,49.35,52.34,57.27,86.71,97.8,96.65,76.89,97.39,95.39
fig|645463.3.peg.968,21.83,24.08,27.48,29.06,30.95,35.21,43.78,48.77,47.07
fig|645463.3.peg.969,206.14,207.27,206.41,93.99,106.67,108.5,177.28,188.28,187.59
fig|645463.3.peg.970,24.26,28.61,35.47,56.05,64.51,59.6,50.68,58.31,61.87
fig|645463.3.peg.971,44.35,56.06,55.11,105.88,124.87,131,83.02,102.09,98.51
fig|645463.3.peg.972,45.8,57.02,50.21,66.21,81.93,89.47,46.28,48.53,46.98
fig|645463.3.peg.973,2.33,5.75,4.42,6.15,6.87,7.33,3.72,5.93,5.79
fig|645463.3.peg.974,18.34,20.86,26.77,23.4,26.64,25.78,22.52,27.97,28.59
fig|645463.3.peg.975,99.3,104.07,116.57,89.27,94.93,92.55,107.63,102.61,102.76
fig|645463.3.peg.976,409.7,451.21,506.11,625.96,656.86,767.87,489.16,514.57,538.71
fig|645463.3.peg.977,748.05,807.84,991.86,957.08,1005.18,1192.86,738.62,925.84,952.4
fig|645463.3.peg.978,1039.5,1076.97,1297.02,1324.22,1307.55,1493.45,927.08,1112.88,1186.39
fig|645463.3.peg.979,477.91,414.9,554.87,560.01,489.59,552.38,449.66,439.8,460.51
fig|645463.3.peg.980,763.2,803.05,996.77,925.52,937.85,1085.65,697.49,880.58,941.01
fig|645463.3.peg.981,1313.7,1342.68,1641.2,1399.15,1342.12,1534.25,1171.71,1377.91,1427.6
fig|645463.3.peg.982,26.48,28.54,32.85,38.49,41.35,45.77,18.78,22.46,22.01
fig|645463.3.peg.983,36.95,38.17,46.46,42.14,46.14,53.47,30.74,40.9,40.05
fig|645463.3.peg.984,195.53,227.12,186.76,293.9,331.95,323.97,258.75,259.42,250.12
fig|645463.3.peg.985,1.33,1.45,1.69,1.4,1.47,2.15,1.12,0.82,1.04
fig|645463.3.peg.987,13.14,11.28,13.62,30.42,25.89,21.06,15.39,12.11,10.78
fig|645463.3.peg.988,216.18,245.91,234.16,149.86,188.43,198.5,216.02,230.27,223.64
fig|645463.3.peg.989,11.5,13.76,12.21,13.29,14.23,17.9,7.44,10.56,9.37
fig|645463.3.peg.990,1.56,2.35,1.97,1.68,1.9,2.35,2.22,2.72,2.9
fig|645463.3.peg.991,96.27,113.33,112.72,229.08,242.59,239.47,111.85,115.44,106.42
fig|645463.3.peg.992,5.47,8.32,8.19,18.48,20.69,21.05,8.5,11.69,10.83
fig|645463.3.peg.993,19.98,22.84,25.06,46.63,50.93,51.27,27.61,33.48,32.65
fig|645463.3.peg.994,24.7,30.29,29.85,28.79,32.67,33.46,37.51,42.35,43.21
fig|645463.3.peg.995,32.39,39.22,41.72,56.7,61.09,62.16,73.75,77.06,73.79
fig|645463.3.peg.996,102.19,107.92,140.98,148,154.44,184.87,199.25,203.57,202.29
fig|645463.3.peg.997,89.32,117.32,133.33,63.4,75.4,78.18,144.83,171.87,181.42
fig|645463.3.peg.998,67.34,88.65,97.13,41.07,49.22,51.6,105.02,116.12,122.33
fig|645463.3.peg.999,114.57,142.88,158.86,65.61,78.03,84.57,177.01,206.54,219.16
fig|645463.3.peg.1000,145.23,172.97,192.42,82.46,104.12,109.07,243.28,268.16,296.8
fig|645463.3.peg.1001,161.46,187.64,217.25,107.6,125.8,131.61,301.84,357.02,385.15
fig|645463.3.peg.1002,147.61,168.71,187.05,103.07,112.5,116.6,287.73,317.67,345.47
fig|645463.3.peg.1003,134.43,143.43,164.69,371.09,446.15,435.61,222,266.45,257.39
fig|645463.3.peg.1004,87,99.89,101.83,67.21,71.43,66.93,73.74,112.6,100.28
fig|645463.3.peg.1005,24.7,25.55,26.53,40.34,42.86,41.78,24.31,28.94,29.07
fig|645463.3.peg.1006,14.26,15.34,14.8,19.48,21.4,21.48,15.8,16.51,16.82
fig|645463.3.peg.1007,278.18,320.18,294.9,173.41,206.11,220.59,173.15,233.36,234.43
fig|645463.3.peg.1008,84.27,92.43,95.6,85.39,97.34,96.34,96.89,107.23,101.01
fig|645463.3.peg.1009,76.84,79.4,88.93,170.92,189.55,198.73,209.15,251.26,250.85
fig|645463.3.peg.1010,106.16,111.84,133.51,174.49,170.02,189.12,256.8,255.37,251.73
fig|645463.3.peg.1011,70.76,89.56,95.24,75.8,101.21,109.36,57.8,67.15,59.82
fig|645463.3.peg.1012,47.47,59.41,68.38,38.6,52.21,52.48,35.32,47.05,45.98
fig|645463.3.peg.1013,9.75,10.52,14.36,9.59,16.57,16.44,9.61,12.22,11.56
fig|645463.3.peg.1014,9.94,14.38,15.69,9.31,14.16,13.32,9.78,13.88,15.61
fig|645463.3.peg.1015,0.93,1.23,1.19,0.64,1.29,1.07,1.66,1.7,1.77
fig|645463.3.peg.1016,22.84,25.39,26.07,31.76,41.38,36.05,18.69,21.48,21.58
fig|645463.3.peg.1017,20.83,22.73,24.98,24.89,28.73,27.1,19.85,21.29,21.16
fig|645463.3.peg.1018,28.95,32.5,34.32,29.73,34.59,36.14,38.5,38.77,44.71
fig|645463.3.peg.1019,17.8,24.98,20.58,14.92,23.72,23.04,10.74,16.15,15.85
fig|645463.3.peg.1020,16.1,18.09,20.01,28.6,31.98,30.44,18.63,21.46,20.97
fig|645463.3.peg.1021,74.26,91.76,78.99,142.66,137.44,137.19,60.07,65.24,63.33
fig|645463.3.peg.1022,2016.74,2192.83,2124.69,1054.29,1359.81,1322.62,2293.54,2901.48,2797.98
fig|645463.3.peg.1023,195.49,239.03,231.04,128.16,136.49,116.95,295.05,321,306.32
fig|645463.3.peg.1025,20.26,25.27,23.69,45.25,50.99,46.49,26.76,29.04,28.81
fig|645463.3.peg.1026,19.26,19.08,19.94,36.66,41.7,35.93,46.34,49.21,46.51
fig|645463.3.peg.1027,2.2,2.09,1.64,3.88,4.21,4.29,3.69,6.06,5.94
fig|645463.3.peg.1028,1.03,1.43,1.13,1.63,1.4,1.57,3.22,4.31,3.58
fig|645463.3.peg.1029,1.13,1.13,1.4,2.21,2.42,2.86,3.74,4.74,4.8
fig|645463.3.peg.1031,66.94,78.22,79.33,51.63,54.52,59.48,51.47,55.19,55.89
fig|645463.3.peg.1032,82.47,95.45,97.71,74.85,82.65,88.9,61.82,65.73,68.13
fig|645463.3.peg.1033,95.28,115.03,110.42,92.93,109.29,112.77,74.45,81.95,85.25
fig|645463.3.peg.1034,85.52,96.46,100.23,70.93,79.96,87.21,71.95,79.16,79.18
fig|645463.3.peg.1035,169.12,177.44,179.75,154.21,137.59,158.03,221.06,220.38,237.19
fig|645463.3.peg.1036,64.97,77.01,66.01,53.36,60.08,55.36,41.46,48.95,50.36
fig|645463.3.peg.1037,49.67,44.36,48.81,52.23,52.01,58.97,72.98,68.23,65.93
fig|645463.3.peg.1038,227.85,241.24,250.75,293.49,300.52,306.77,279.12,271.98,280.6
fig|645463.3.peg.1039,33.59,34.73,40.27,54.26,54.61,58.89,45.99,59.56,62.12
fig|645463.3.peg.1040,149.88,167.07,181.71,330.27,364.64,396.79,289.27,325.24,327.01
fig|645463.3.peg.1041,116.96,119.74,141.7,325.74,357.49,401.69,260.05,295.66,302.98
fig|645463.3.peg.1042,103.03,107.75,132.37,335.23,371.97,405.07,252.88,287.19,293.38
fig|645463.3.peg.1043,93.56,98.28,128.33,337.98,356.56,420.74,246.53,293.69,311.52
fig|645463.3.peg.1044,65.49,67.23,87.4,247.94,241.98,264.76,171.93,205.95,221.09
fig|645463.3.peg.1045,101.98,100.36,141.17,355.66,366.59,397.87,280.96,303.63,302.12
fig|645463.3.peg.1046,2.4,3.53,5.34,10.55,12.89,13.87,7.35,7.31,7.08
fig|645463.3.peg.1047,182.29,217.6,209.16,509.18,562.68,508.39,268.13,226.61,239.49
fig|645463.3.peg.1048,130.87,143.53,146.54,364.35,368.75,349.45,161.4,154.14,165.42
fig|645463.3.peg.1049,498.5,545.37,584.79,550.03,576.5,608.3,417.38,423.67,419.48
fig|645463.3.peg.1050,146.18,153.66,166.26,159.32,168.22,183.11,134.54,127.5,135.1
fig|645463.3.peg.1051,189.69,222.7,219.94,221.44,265.95,271.44,162.89,165.21,171.03
fig|645463.3.peg.1052,230.97,260.41,257.18,312.06,338.6,342.85,226.38,217.31,224.98
fig|645463.3.peg.1053,371.85,400.33,410.74,595.24,617.65,612.83,433.87,405.24,410.31
fig|645463.3.peg.1054,396.6,451.15,438,628.16,664.82,667.31,500.72,482.89,484.97
fig|645463.3.peg.1055,454.93,509.89,498.42,753.72,770.66,797.78,593.18,613.74,624.55
fig|645463.3.peg.1056,116.21,122.81,132.62,164.23,167.97,175.68,130.93,138.79,139.22
fig|645463.3.peg.1057,237.94,269.82,260.88,299.23,330.64,338.26,245.95,273.64,263.85
fig|645463.3.peg.1058,3.02,3.12,4.02,5.34,6.52,6.99,10.16,10.11,10.05
fig|645463.3.peg.1059,4.48,5.83,5.34,7.4,7.97,8.66,8.91,10.9,13.37
fig|645463.3.peg.1060,40.94,49.32,46.94,62.37,67.29,71.04,86.55,109.05,109.11
fig|645463.3.peg.1061,5403.31,5961.41,5134.3,1510.1,1819.12,1985.17,4224.48,5378.39,5166.93
fig|645463.3.peg.1062,87.97,91.86,100.67,101.98,110.93,120.57,118.07,127.32,127.43
fig|645463.3.peg.1063,193.4,216.68,222.6,203.53,215.24,233.39,245.38,282.93,289.74
fig|645463.3.peg.1064,60.34,62.31,71.22,68.03,70.55,76.14,77.87,87.06,88.17
fig|645463.3.peg.1065,1077.71,1074.17,1117.33,1506.84,1491.95,1513.19,1063.51,922.79,894.81
fig|645463.3.peg.1066,1836.6,1906.86,1865.94,2432.15,2401.99,2522.21,1491.74,1412.19,1392.45
fig|645463.3.peg.1067,652.27,722.66,744.34,906.54,826.71,917.76,569.89,510.51,523
fig|645463.3.peg.1068,293.52,320.77,324.69,248.64,275.94,298.24,223.89,229.73,232.08
fig|645463.3.peg.1069,446.56,473.42,471.26,353.41,387.84,420.23,328.78,330.88,336.82
fig|645463.3.peg.1070,10.47,11.44,13.64,14.59,16.12,17.37,34.75,36.03,39.35
fig|645463.3.peg.1071,9.34,14.22,13.05,16.58,22.08,19.58,12.21,15.1,14.08
fig|645463.3.peg.1072,1.28,1.74,1.75,2.53,3.06,2.56,2.76,4.01,3.78
fig|645463.3.peg.1073,18.83,22.8,17.72,19.98,23.92,25.53,15.79,19.4,19.05
fig|645463.3.peg.1074,17.17,17.58,20.49,32.47,36.93,34.43,28.2,29.38,31.53
fig|645463.3.peg.1075,26.61,30.55,31.32,41.99,42.4,42.57,35.11,42.96,42.3
fig|645463.3.peg.1076,78.65,80.7,92.06,89.42,98,92.1,82.06,100.55,98.4
fig|645463.3.peg.1077,64.02,69.1,80.03,80.81,90.58,86.09,76.31,92.41,91.58
fig|645463.3.peg.1078,10.49,12.79,14.59,17.93,21.23,19.73,16.68,20.31,20.54
fig|645463.3.peg.1079,488.58,552.54,584.53,456.04,485.03,579.09,355.51,404.49,401.2
fig|645463.3.peg.1080,979.28,1123.63,1151.94,1629.92,1768.09,1764.74,1535.02,1702.29,1726.38
fig|645463.3.peg.1081,2860.07,3428.47,3265.23,4397.95,4916.55,4831.5,3912.02,4133.3,3957.92
fig|645463.3.peg.1082,256.71,294.55,301.48,718.57,808.45,747.17,405.68,429.59,430.7
fig|645463.3.peg.1083,163.91,174.84,187.35,446.61,472.07,434.28,284.23,274.9,271.67
fig|645463.3.peg.1084,178.64,194.95,219.42,566.79,599.09,582.73,384.72,367.27,377.82
fig|645463.3.peg.1085,188.23,191.42,232.12,596.99,634.54,620.87,458.68,414.26,408.95
fig|645463.3.peg.1086,235.14,252.05,304.65,706.18,768.62,739.23,510.69,500.15,510.13
fig|645463.3.peg.1087,213.32,227.15,279.14,553.39,595.91,564.48,448.49,463.44,468.82
fig|645463.3.peg.1089,558.27,568,738.66,1038.13,1040.05,1099.32,1046.88,1094.56,1075.42
fig|645463.3.peg.1090,15.62,19.35,21.29,27.23,28.97,28.52,33.79,37.01,38.95
fig|645463.3.peg.1091,27.38,31.72,35.79,49.57,53.2,49.01,60.15,65.97,67.14
fig|645463.3.peg.1092,0.61,0.47,0.44,0.95,0.16,1.68,1.12,1.41,1.01
fig|645463.3.peg.1093,0.35,0.52,0.35,1,0.69,0.48,1.1,1.22,0.97
fig|645463.3.peg.1094,1.53,2.07,1.67,3.26,3.49,3.48,4.73,5.57,4.7
fig|645463.3.peg.1095,1.52,1.48,1.74,3.86,3.87,3.47,2.21,2.79,1.95
fig|645463.3.peg.1096,29.27,32.47,33.96,34.02,36.85,35,24.1,27.57,27.9
fig|645463.3.peg.1097,1.43,1.74,1.54,2.5,2.56,2.45,3.75,4.42,4.39
fig|645463.3.peg.1098,1.37,1.29,1.25,2.34,3.93,3.32,4.5,5.1,5.34
fig|645463.3.peg.1100,1.07,1.26,1.42,1.72,2.08,1.97,4.25,2.73,3.58
fig|645463.3.peg.1101,1.39,1.46,1.65,2.25,2.95,1.78,3.66,3.8,3.49
fig|645463.3.peg.1103,2.41,2.46,2.39,2.66,2.9,2.94,3.65,4.48,4.64
fig|645463.3.peg.1104,1.43,2.14,2.13,2.32,2.25,2.2,3.27,3.84,3.72
fig|645463.3.peg.1105,292.69,299.76,288.14,246,236.8,236.51,358.55,387.61,384.15
fig|645463.3.peg.1106,72.17,90.62,88,92.02,98.32,106.07,142.01,163,164.73
fig|645463.3.peg.1107,17.47,19.59,20.51,23.84,25.97,27.44,34.34,38.21,39.48
fig|645463.3.peg.1108,25.73,32.69,31.83,36.38,41.69,41.44,46.19,49.68,47.37
fig|645463.3.peg.1109,14.47,16.36,18.92,22.24,25.03,22.24,20.97,21.16,21.94
fig|645463.3.peg.1110,34.67,36.1,39.1,39.25,38.76,42.65,38.91,34.77,38.78
fig|645463.3.peg.1111,123.2,128.04,133.31,163.82,178.21,162.3,185.67,186.22,192.37
fig|645463.3.peg.1112,72.87,84.04,89.31,121.28,137.03,132.86,143.16,153.1,156.63
fig|645463.3.peg.1113,29.6,29.97,34.97,47.57,49.14,47.08,59.13,53.73,56.82
fig|645463.3.peg.1114,48.03,54.31,60.33,67.31,72.99,75.49,70.19,68.31,70.78
fig|645463.3.peg.1115,23.84,25.52,26,31.96,35.35,37.35,19.15,24.88,25.91
fig|645463.3.peg.1116,31.7,34.55,37.21,49.28,51.24,59.28,33.37,50.83,51.44
fig|645463.3.peg.1117,53.19,56.43,55.94,70.06,71.23,74.05,59.95,65.9,64.78
