645463.3.peg.14	249.66	284.63	263.11
645463.3.peg.34	1.19	1.6	1.54
645463.3.peg.35	2.22	3.07	2.88
645463.3.peg.37	24.34	27.26	28.58
645463.3.peg.38	41.15	48.04	50.01
645463.3.peg.39	35.17	39.69	42.01
645463.3.peg.40	25.13	29.74	30.35
645463.3.peg.42	0.95	0.86	1.32
645463.3.peg.43	2.2	2.74	3.14
645463.3.peg.44	1.84	2.43	2.14
645463.3.peg.46	1.42	2.16	2.16
645463.3.peg.47	8.94	12.42	11.21
645463.3.peg.48	30.62	36.17	35.35
645463.3.peg.49	51.7	66.95	62.58
645463.3.peg.50	275.89	321.5	317.44
645463.3.peg.52	150.38	160.6	157.5
645463.3.peg.54	577.92	681.81	699.39
645463.3.peg.57	279.38	311.78	318.35
645463.3.peg.58	63.53	59.16	53.79
645463.3.peg.102	2197.7	2177.64	2387.98
645463.3.peg.103	1880.42	1958.02	2064.37
645463.3.peg.118	22.67	25.69	26.87
645463.3.peg.119	414.68	576.18	547.36
645463.3.peg.120	107.61	126.2	119.8
645463.3.peg.125	167.78	207.9	211.9
645463.3.peg.126	111.82	124.38	127.14
645463.3.peg.132	209.56	202.24	198.59
645463.3.peg.136	231.34	252.24	254.77
645463.3.peg.143	198.59	197.23	188.55
645463.3.peg.148	2.57	2.84	4.13
645463.3.peg.149	2.02	2.92	3.27
645463.3.peg.150	4.44	5.37	5.57
645463.3.peg.161	1328.55	1466.18	1384.79
645463.3.peg.167	71.92	86.07	84.61
645463.3.peg.168	55.35	54.4	52.72
645463.3.peg.169	57.82	64.05	63.42
645463.3.peg.190	1910.99	1947.61	1879.92
645463.3.peg.191	3047.41	4052.73	3871.95
645463.3.peg.192	217.71	268.13	283.77
645463.3.peg.194	1213.87	1476.47	1534.53
645463.3.peg.198	396.63	431.56	451.84
645463.3.peg.201	218.85	181.94	189.14
645463.3.peg.202	53.15	71.33	68.56
645463.3.peg.213	49.87	53.47	51.54
645463.3.peg.221	1.18	1.06	1.3
645463.3.peg.222	2.15	2.77	1.92
645463.3.peg.223	0.91	0.9	1.16
645463.3.peg.230	325.68	358.05	378.64
645463.3.peg.231	317.84	321.05	331.93
645463.3.peg.232	327.39	321.37	328.08
645463.3.peg.233	196.85	198.25	206.32
645463.3.peg.234	180.94	191.8	207.34
645463.3.peg.235	247.53	255.47	275.21
645463.3.peg.236	427.56	451.25	480.15
645463.3.peg.237	14.4	16.53	17.22
645463.3.peg.238	16.63	16.16	15.81
645463.3.peg.239	18.5	19.54	18.41
645463.3.peg.240	21.45	24.65	23.25
645463.3.peg.260	20.67	22.59	23.82
645463.3.peg.294	49.95	66.98	66.58
645463.3.peg.295	49.56	60.41	59.29
645463.3.peg.303	532.25	546.95	542.23
645463.3.peg.304	271.65	277.32	274.77
645463.3.peg.306	742.02	860.62	860.24
645463.3.peg.307	1054.08	1243.76	1227.53
645463.3.peg.308	2040.04	2409.94	2384.12
645463.3.peg.317	22.63	25.89	29.17
645463.3.peg.319	61.62	71.32	74.4
645463.3.peg.320	41.23	51.26	51.58
645463.3.peg.321	18.56	22.68	25.41
645463.3.peg.322	12.94	19.13	20.46
645463.3.peg.334	102.46	122.77	120.54
645463.3.peg.360	421.85	578.96	541.48
645463.3.peg.372	134.99	149.03	147.95
645463.3.peg.384	13.43	13.18	13.47
645463.3.peg.386	17.92	21.19	19.91
645463.3.peg.389	4025.01	4792.41	4662.04
645463.3.peg.390	1451.44	1588.36	1596.36
645463.3.peg.391	1022.23	962.54	981.02
645463.3.peg.392	1714.09	1880.01	1872.43
645463.3.peg.393	2396.1	2740.02	2705.43
645463.3.peg.398	3280.04	3284.26	3347.92
645463.3.peg.402	21.39	20.57	21.5
645463.3.peg.412	1.73	1.56	1.58
645463.3.peg.413	1.75	1.85	2.1
645463.3.peg.414	2.52	3.3	2.64
645463.3.peg.416	0.99	1.11	1.31
645463.3.peg.418	1.05	0.93	0.87
645463.3.peg.419	2.27	2.92	2.93
645463.3.peg.441	6.96	9.99	10.89
645463.3.peg.462	342.03	412.86	401.95
645463.3.peg.463	4.41	4.74	4.46
645463.3.peg.464	5.09	4.92	5.39
645463.3.peg.465	12.78	14.03	13.67
645463.3.peg.466	10.75	11.2	10.59
645463.3.peg.467	8.03	8.76	9.02
645463.3.peg.500	162.36	188.62	189.08
645463.3.peg.515	55.7	54.67	53.41
645463.3.peg.530	756.58	989.34	977.41
645463.3.peg.549	854.33	889.76	911.38
645463.3.peg.558	3.97	3.79	4.25
645463.3.peg.560	159.98	212.53	208.38
645463.3.peg.658	4.63	4.9	5.06
645463.3.peg.664	17.25	19.1	18.86
645463.3.peg.671	18.14	19.18	19.67
645463.3.peg.672	3.3	3.26	3.62
