reaction	linear_coefficient
rxn05346_c	[0.0011118796068165632, 0.0011430228269252388, 0.0010883103674460082]
rxn03248_c	[0.021840166451228115, 0.02132985133799747, 0.02147238811653519]
rxn05733_c	[0.038462481475800656, 0.03762409046350118, 0.038207309613244464]
rxn00416_c	[0.06315134049915982, 0.06354772983240267, 0.06332737997263256]
rxn12512_c	[0.002559603874358745, 0.0022964009081064872, 0.002455699872006839]
rxn08669_c	[0.08027485663880506, 0.07494196126543179, 0.09113063900769677]
rxn00902_c	[1.0, 1.0, 0.35580084165943987]
rxn06672_c	[0.0024079320920955623, 0.0022964009081064872, 0.0022960155065802237]
rxn02961_c	[0.03752394104871345, 0.027729891575556866, 0.027882855549523033]
rxn00649_c	[0.038462481475800656, 0.03762409046350118, 0.038207309613244464]
rxn01739_c	[0.07844339135824363, 0.07494196126543179, 0.07217241980774003]
rxn02400_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn01268_c	[0.08498295403033551, 0.09552820672637867, 0.07544619496724013]
rxn00641_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn01974_c	[0.02032801018595759, 0.021533011564353464, 0.021285680243113305]
rxn00242_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn00568_c	[0.00022807786806493607, 0.00021203615857543257, 0.00019702594011099288]
rxn08971_c	[0.0014927696464850065, 0.0013304036182244584, 0.00105981284992372]
rxn01635_c	[0.0013422382535621486, 0.001408807686162816, 0.001482362247667994]
rxn04384_c	[0.05974955909697131, 0.054022868346256026, 0.05288844450231297]
rxn00060_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn00225_c	[0.0026930294271767324, 0.002576978987709792, 0.0025814820183121113]
rxn05350_c	[0.0011118796068165632, 0.0011430228269252388, 0.0010883103674460082]
rxn08838_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn00780_c	[0.08498295403033551, 0.07494196126543179, 0.07217241980774003]
rxn00148_c	[0.0010406052730462707, 0.0010542635047308718, 0.0010273846403293918]
rxn01102_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn05569_c	[0.0014003981099187073, 0.0014507218105323785, 0.001498085015956153]
rxn05358_c	[0.001953486939976177, 0.0018387972914599723, 0.0019343918359525662]
rxn00100_c	[0.0033995006235078722, 0.012848404994980167, 0.0033044836913129244]
rxn03482_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn00789_c	[0.17381871344695793, 0.1312789823842332, 0.14470007591149064]
rxn05158_c	[0.014521717859694479, 0.013567848612100064, 0.0033044836913129244]
rxn08976_c	[0.0014927696464850065, 0.0013304036182244584, 0.00105981284992372]
rxn00781_c	[0.0001818920997817865, 0.00019329807944551064, 0.00017196777815173944]
rxn05298_c	[0.0013855730484944866, 0.0013259656521147402, 0.0013074464504622247]
rxn05408_c	[0.001953486939976177, 0.0018387972914599723, 0.0019343918359525662]
rxn00292_c	[0.06639004622568191, 0.07234772352062865, 0.06808892208139972]
rxn02264_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn03185_c	[0.024486439915451536, 0.02807506671742385, 0.022874171176726372]
rxn02687_c	[0.0021228347570143922, 0.001960594805804465, 0.0020778620965820173]
rxn03903_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn00097_c	[0.0002925098657932805, 0.0003718029385252934, 0.0003360741721593994]
rxn01217_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn02212_c	[0.07581023237143393, 0.07494196126543179, 0.07217241980774003]
rxn00695_c	[0.013596291910021001, 0.003338336729199253, 0.0033044836913129244]
rxn07670_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn00655_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn00692_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn01492_c	[0.05974955909697131, 0.054022868346256026, 0.05288844450231297]
rxn00802_c	[0.07844339135824363, 0.07494196126543179, 0.07217241980774003]
rxn02160_c	[0.07844339135824363, 0.06943099357185263, 0.05288844450231297]
rxn00926_c	[0.033112344885667416, 0.029257045024645507, 0.03441271775419908]
rxn08884_c	[0.08498295403033551, 0.09552820672637867, 0.09113063900769677]
rxn05413_c	[0.0011118796068165632, 0.0011430228269252388, 0.0010883103674460082]
rxn10284_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn00913_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn08521_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn08809_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn00171_c	[0.00010947737667116931, 9.516971768618255e-05, 9.187992718392937e-05]
rxn03958_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn00259_c	[0.04877046072299544, 0.054022868346256026, 0.05288844450231297]
rxn00345_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn00178_c	[0.001056000529140654, 0.0009847353690119508, 0.000878509678100886]
rxn01362_c	[0.002756891230234915, 0.0028018359372688558, 0.002683680012185145]
rxn03174_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn00549_c	[0.04514060145274198, 0.044409247537915024, 0.04482856040859544]
rxn04779_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn07875_c	[0.0021228347570143922, 0.001960594805804465, 0.0020778620965820173]
rxn00506_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn00340_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn10060_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn05127_c	[0.0021228347570143922, 0.001960594805804465, 0.0020778620965820173]
rxn00305_c	[0.002559603874358745, 0.0022964009081064872, 0.002455699872006839]
rxn01445_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn00612_c	[0.0026542561896056934, 0.0026805315302698873, 0.002583447364348131]
rxn08841_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn12405_c	[0.20728343863878568, 0.16199858379570364, 0.16454466617369237]
rxn02159_c	[0.038462481475800656, 0.03366986265974212, 0.036522025387357424]
rxn10222_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn01966_c	[0.02578591356875151, 0.02471207462094838, 0.025812363500576092]
rxn10263_c	[0.003350463881873911, 0.0032905053166833995, 0.003290480600806283]
rxn02791_c	[0.052031404041653864, 0.043690297028140646, 0.04277624781048168]
rxn08845_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn01292_c	[0.013596291910021001, 0.003338336729199253, 0.013013047440996628]
rxn00300_c	[0.0010953439613818556, 0.0013565383075372444, 0.0013275912473314285]
