645463.3.peg.14	395.96	392.53	409.32
645463.3.peg.34	0.95	0.83	0.91
645463.3.peg.35	1.93	2.55	2.19
645463.3.peg.37	14.93	12.06	14.31
645463.3.peg.38	21.65	19.93	23.33
645463.3.peg.39	16.47	18.05	19.46
645463.3.peg.40	12.51	11.84	14.56
645463.3.peg.42	0.96	0.98	1.08
645463.3.peg.43	1.47	1.34	1.84
645463.3.peg.44	0.95	1.08	1.05
645463.3.peg.46	1.06	1.2	0.66
645463.3.peg.47	10.63	11.28	12.21
645463.3.peg.48	31.25	36.61	37.63
645463.3.peg.49	62.79	70.29	76.46
645463.3.peg.50	210.47	236.22	237.3
645463.3.peg.52	177.46	183.65	219.63
645463.3.peg.54	1020.01	1162.68	1102.89
645463.3.peg.57	441.29	517.95	500.39
645463.3.peg.58	82.15	78.64	92.04
645463.3.peg.102	2494.56	2670.76	2890.94
645463.3.peg.103	2284.31	2498.95	2675.1
645463.3.peg.118	14.56	18.92	18.87
645463.3.peg.119	390.9	455.05	459.84
645463.3.peg.120	275.16	303.27	354.1
645463.3.peg.125	258.74	289.81	270.35
645463.3.peg.126	126.61	139.35	142.95
645463.3.peg.132	98.76	115.35	135.51
645463.3.peg.136	182.67	207.72	220.84
645463.3.peg.143	250.82	265.68	252.36
645463.3.peg.148	10.53	11.08	13.49
645463.3.peg.149	6.44	6.72	6.12
645463.3.peg.150	4.06	4.79	4.73
645463.3.peg.161	940.28	946.75	1063.04
645463.3.peg.167	84.85	98.18	101.78
645463.3.peg.168	57.99	61.55	71.75
645463.3.peg.169	65.63	70.24	77.36
645463.3.peg.190	1145.43	1190.34	1154.77
645463.3.peg.191	2436.62	2709.57	2515.45
645463.3.peg.192	181.95	212.17	230.28
645463.3.peg.194	1932.5	2012.25	2092.7
645463.3.peg.198	121.14	143.04	147.12
645463.3.peg.201	65.24	62.45	73.26
645463.3.peg.202	62.09	65.33	61.94
645463.3.peg.213	53.03	62.06	64.44
645463.3.peg.221	0.47	0.55	0.8
645463.3.peg.222	1.04	0.66	1.27
645463.3.peg.223	0.4	0.66	0.2
645463.3.peg.230	129.79	136.12	158.83
645463.3.peg.231	132.06	128.61	155.61
645463.3.peg.232	148.47	131.58	171.62
645463.3.peg.233	98.54	100.45	118.2
645463.3.peg.234	130.4	120.44	155.8
645463.3.peg.235	195.54	172.24	225.69
645463.3.peg.236	420.15	379.72	468.59
645463.3.peg.237	11.45	14.85	13.94
645463.3.peg.238	11.93	12.65	14.07
645463.3.peg.239	12.91	16.65	16.01
645463.3.peg.240	18.69	21.54	23.09
645463.3.peg.260	16.91	21.14	20.42
645463.3.peg.294	66.09	73.66	75.33
645463.3.peg.295	62.16	65.23	66.57
645463.3.peg.303	251.51	281.29	299.94
645463.3.peg.304	127.68	131.79	169.28
645463.3.peg.306	325.28	350.67	458.41
645463.3.peg.307	483.9	524.03	688.88
645463.3.peg.308	1041.3	1152.94	1476.93
645463.3.peg.317	66.47	68.84	72.03
645463.3.peg.319	146.58	175.18	187.99
645463.3.peg.320	195.52	240.5	245.34
645463.3.peg.321	87.72	111.19	124.14
645463.3.peg.322	60.4	78.79	89.03
645463.3.peg.334	129.22	160.63	145.11
645463.3.peg.360	523.21	610.32	608.19
645463.3.peg.372	84.41	94.73	92.32
645463.3.peg.384	6.1	7.07	6.72
645463.3.peg.386	19.98	24.94	22.74
645463.3.peg.389	2393.99	2441.12	2615.71
645463.3.peg.390	632.18	706.64	624.32
645463.3.peg.391	385.91	412.07	394.14
645463.3.peg.392	588.69	638.49	590.54
645463.3.peg.393	751.19	851.73	756.38
645463.3.peg.398	2470.58	2637.7	2803.24
645463.3.peg.402	17.0	19.36	21.07
645463.3.peg.412	0.65	0.44	0.34
645463.3.peg.413	0.35	0.58	0.91
645463.3.peg.414	0.72	1.1	0.84
645463.3.peg.416	0.78	0.94	1.03
645463.3.peg.418	0.34	0.45	0.5
645463.3.peg.419	1.1	1.29	1.17
