reaction	linear_coefficient
rxn03248_c	[0.024530958164771344, 0.030294936979044094, 0.030129026489062714]
rxn05733_c	[0.023501219380352892, 0.02500807259313583, 0.03261885167120815]
rxn00416_c	[0.032743781996415026, 0.03114105419856937, 0.03566179285618288]
rxn12512_c	[0.00298110572681699, 0.003071142805540809, 0.003117368217301233]
rxn08669_c	[0.05790488773517794, 0.0575365182221687, 0.059107378931581224]
rxn00902_c	[0.07313415095229932, 0.11103345610972158, 0.10203089417921708]
rxn06672_c	[0.002808487102282807, 0.003071142805540809, 0.0032383790756162585]
rxn02961_c	[0.026417817109074065, 0.02840184547688502, 0.030129026489062714]
rxn00649_c	[0.023501219380352892, 0.02500807259313583, 0.03261885167120815]
rxn01739_c	[0.06314437069162729, 0.0659965958285217, 0.06964281985284866]
rxn02400_c	[0.018080158355189398, 0.020558568715554653, 0.02197043158576163]
rxn01268_c	[0.06544396136448752, 0.0659965958285217, 0.06964281985284866]
rxn00641_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
rxn01974_c	[0.023501219380352892, 0.02500807259313583, 0.0264890627066488]
rxn00242_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
rxn00568_c	[0.00019471858684478837, 0.0001576208015674513, 0.00022488743580668463]
rxn08971_c	[0.0004909775410626259, 0.0004920177104483983, 0.0005108157470466123]
rxn01635_c	[0.0003016346207258225, 0.00030320112523738894, 0.0003073461622691357]
rxn04384_c	[0.032743781996415026, 0.02500807259313583, 0.030129026489062714]
rxn00060_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
rxn00225_c	[0.0015027974371211274, 0.001506154326088979, 0.0015420852741029804]
rxn05350_c	[0.0009574659346999871, 0.0011493183447626658, 0.0009573779410056003]
rxn08838_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
rxn00780_c	[0.05441369098638105, 0.05186983148803888, 0.04722047161037074]
rxn00148_c	[0.00032015080536443736, 0.0003097686586360328, 0.0003180550877837397]
rxn01102_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
rxn05569_c	[0.0007711094957565086, 0.0008099957858327359, 0.0008320835124847331]
rxn05358_c	[0.0025707631833741386, 0.0027999584056218082, 0.002704003692437518]
rxn00100_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
