	minimum	maximum
rxn03408_c	3.437947358333998	10.578299564104556
rxn00022_c	7.010547654869416	21.57091586113655
rxn00258_c	-722.5903157786308	-102.04428963907499
rxn09177_c	0.012605806980557991	0.03878709840171573
rxn00545_c	19.95004321940554	61.384748367402075
rxn01547_c	-1.9316334666238868	-0.6277808766528066
rxn02504_c	0.011459824527779622	0.03526099854701472
rxn05040_c	0.025211613961115712	0.07757419680346499
rxn02988_c	0.057299122638810276	0.17630499273525035
rxn00001_c	74.3447597320128	287.12566202772473
rxn00710_c	2.474315237817239	7.613277654822881
rxn02305_c	0.011459824527779999	0.0352609985470152
rxn01297_c	0.6277808766528143	1.9316334666240103
rxn00337_c	3.437947358334	10.57829956410456
rxn08669_c	-0.008815249636753801	-0.002864956131945
rxn01739_c	0.022919649055559623	0.07052199709402994
rxn00225_c	-883.9415676820488	-77.44936234957625
rxn00148_c	-327.7843482061023	0.0
rxn00100_c	0.012605806980558869	0.038787098401715736
rxn05298_c	-155.45392186918417	28.060702643715366
rxn03903_c	3.437947358334	10.578299564104562
rxn00097_c	36.13779322623973	169.5657650868858
rxn02212_c	0.022919649055559453	0.07052199709402993
rxn00692_c	1.5058209429501705	4.633295209077725
rxn00926_c	1.3830222764370834	4.255453158268157
rxn08809_c	-0.07052199709403038	-0.02291964905556
rxn03958_c	-120.24000504532184	-39.0780016397298
rxn01362_c	2.474315237817239	7.61327765482288
rxn10060_c	-0.8004246670172454	-0.2601380167806061
rxn01966_c	-21.5621006114998	-7.0076826987374705
rxn00300_c	0.012605806980558	0.038787098401717235
rxn08799_c	-0.026445748910261396	-0.008594868395835
rxn05234_c	0.17648129772781204	0.5430193776240342
rxn09111_c	0.002864956131945	0.008815249636753801
rxn00907_c	0.01145982452778	0.03526099854701519
rxn01465_c	-7.613277654822887	-2.474315237817239
rxn01643_c	3.4379473583340006	10.578299564104562
rxn00392_c	0.001145982452777853	0.0035260998547020344
rxn00747_c	-60.78531139210244	-19.75522620243328
rxn05219_c	0.6188305245001201	1.9040939215388213
rxn02175_c	0.012605806980558031	0.038787098401719074
rxn02009_c	3.4379473583340006	10.578299564104562
rxn00555_c	27.91040263740737	413.6625101673519
rxn03080_c	0.025211613961115712	0.0775741968034334
rxn01505_c	13.980985923891362	43.01841822735861
rxn00213_c	-21.509209113679272	-6.9904929619457965
rxn01740_c	-0.07052199709403019	-0.022919649055559453
rxn00139_c	-7.824843646105147	-2.5430741849838308
rxn00790_c	0.011459824527779999	0.03526099854701519
rxn03910_c	39.078001639729806	120.24000504532185
rxn00422_c	-0.03526099854707354	-0.011459824527833007
rxn00182_c	72.85838400769785	305.00318101445293
rxn00299_c	0.01145982452777945	0.03526099854679924
rxn01132_c	-21.570915861136562	-7.010547654869416
rxn01670_c	0.011459824527779999	0.0352609985470152
rxn00786_c	19.950043219405536	61.38474836740207
rxn03908_c	39.0780016397298	120.24000504532185
rxn01255_c	0.022919649055559457	0.0705219970940302
rxn05485_c	-370.6440919400002	-13.929416713516389
rxn05496_c	30.182341166225015	390.8545131463771
rxn00109_c	0.0	383.5695580652728
rxn10271_c	0.0028649561319450006	0.0088152496367538
rxn08352_c	3.552545603611799	10.93090954957471
rxn08850_c	-0.008815249636753801	-0.002864956131945
rxn01967_c	-43.13301647263636	-14.018230353606887
rxn01116_c	-3.7190654341776046	-1.2086962661070997
rxn00908_c	1.777418784258556	5.468980874641947
rxn01138_c	-3.5693904878380747	-1.1600519085468752
rxn02402_c	0.057299122638738244	0.1763049927352633
rxn01870_c	0.0028649561319450006	0.008815249636753803
rxn00297_c	0.1145982452778	0.352609985470152
rxn00611_c	-0.4319472322009362	-0.14038285046530502
rxn00931_c	0.0	170.50666501766838
rxn08756_c	35.525456036117994	109.30909549574714
rxn00412_c	0.6795921185218516	2.0910526723749054
rxn03005_c	-0.03526099854701519	-0.01145982452778
rxn10168_c	0.01145982452778	0.0352609985470152
rxn02895_c	0.01145982452778	0.03526099854701519
rxn00048_c	0.012605806980557854	0.038787098401732494
rxn12191_c	134.92395188336448	782.6664055319192
rxn00283_c	12.032815754169002	37.02404847436597
rxn02475_c	0.012605806980441333	0.03878709840173248
rxn03108_c	0.011459824527779999	0.0352609985470152
rxn05236_c	0.3609844726250701	1.110721454230979
rxn01333_c	-1.8242717185415358	-0.592888308526059
rxn12510_c	0.012605806980557991	0.03878709840171573
rxn03933_c	3.4379473583340006	10.578299564104562
rxn01977_c	14.018230353606887	43.13301647263637
rxn02200_c	0.011459824527779454	0.035260998547014984
rxn01646_c	0.01145982452778	0.0352609985470152
rxn00105_c	0.045839298111030276	0.14104399418823518
rxn00223_c	0.0028649561319449997	0.008815249636753801
rxn02285_c	-21.15659912820912	-6.875894716668001
rxn05663_c	0.14668575395558403	0.4513407814017946
rxn03907_c	39.0780016397298	120.24000504532185
rxn09310_c	0.011459824527779999	0.0352609985470152
rxn01213_c	3.5525456036118	10.930909549574713
rxn05209_c	-769.043888693228	-33.65125830444293
rxn05059_c	-0.31029678721373377	-0.10084645584446401
rxn10474_c	-0.0352609985470152	-0.01145982452778
rxn00260_c	102.04428963907037	722.5903157786306
rxn00461_c	6.875894716667972	21.15659912820911
rxn10473_c	-0.035260998547015206	-0.011459824527779992
rxn02937_c	0.011459824527779999	0.03526099854701519
rxn08309_c	0.0028649561319450006	0.008815249636753801
rxn03841_c	0.022919649055559453	0.07052199709403019
rxn01257_c	0.022919649055559453	0.07052199709403019
rxn02213_c	0.022919649055559457	0.07052199709403019
rxn05313_c	-1.324536392000073	-0.4304743274027444
